Variable,Mean,SD,IQR,Min,Max,Skewness,Kurtosis,n,n_Missing,.group
Mass,4.25,3.3366650016645862,2.5,1,14,2.1381537611256856,4.604911385362459,16,0,Species.code=WP
BodyC,45.769287055625,2.498474159855905,2.811889892499998,40.05,48.77,-1.0189685884504838,0.7420945071967713,16,0,Species.code=WP
BodyN,13.529605049375,0.9323845420219823,1.1143192225000007,11.07123614,14.38152012,-1.653582722070011,2.3961698231766593,16,0,Species.code=WP
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,16,Species.code=WP
BodyCN,3.387686589625,0.11060953795907412,0.09704076199999978,3.285531274,3.729640332,2.187446621392714,5.841256196465514,16,0,Species.code=WP
masscorr.N.excr,21.218796951015072,12.508293150397792,6.604804963414635,11.180685503355704,57.381729225,2.8366507587575893,8.760391264685508,11,0,Species.code=YB
masscorr.P.excr,4.701928438362317,2.1788866678243153,3.599417687804878,1.552188515060241,8.6622173075,0.2100133587211501,-0.48089278353070125,11,0,Species.code=YB
masscorr.NP.excr,2.189676957336826,0.7897697552308509,1.3953184445781688,1.3214254569295654,3.8673736956362506,1.0479960373952686,0.44100049016495263,11,0,Species.code=YB
masscorr.N.excr.t,41.556326088108015,23.173152048498668,42.43965956027204,20.93639277181208,86.04193054999999,1.0779336501416354,-0.32469439974925685,11,0,Species.code=YB
masscorr.P.excr.t,19.838676215903504,34.7195766992128,7.5436473325,0.919641234228188,113.36194492682927,2.4462427854169944,5.776791203029848,11,0,Species.code=YB
masscorr.NP.excr.t,3.088173528754958,2.6650981916949594,1.5471398683376887,0.26224274530449576,10.281340995642834,2.144903068324624,5.953249675538632,11,0,Species.code=YB
d15N,12.93145454,0,0,12.93145454,12.93145454,NA,NA,11,0,Species.code=YB
d13C,-23.61529978,0,0,-23.61529978,-23.61529978,NA,NA,11,0,Species.code=YB
Mass,98.54545454545455,56.38858685295037,109,40,190,0.41278288229746973,-1.553824891348732,11,0,Species.code=YB
BodyC,48.13024135,0,0,48.13024135,48.13024135,NA,NA,11,0,Species.code=YB
BodyN,13.73628115,0,0,13.73628115,13.73628115,NA,NA,11,0,Species.code=YB
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,11,Species.code=YB
BodyCN,3.589797468,0,0,3.589797468,3.589797468,NA,NA,11,0,Species.code=YB
masscorr.N.excr,13.458930222398635,7.01954433963859,13.193221172185998,5.366686335403727,24.59860698198198,0.6611592824379328,-0.4957081182989981,8,0,Species.code=YP
masscorr.P.excr,1.1219428584491453,0.7192643051391812,1.2314755051115756,0.23005902777777776,2.244194146226415,0.6789702839680657,-0.8967458854535885,8,0,Species.code=YP
masscorr.NP.excr,10.110217223059653,14.405522337636302,7.8618160279702645,2.4463224304012496,44.87125450408892,2.5715934079531437,6.81555769539606,8,0,Species.code=YP
masscorr.N.excr.t,17.07931470620887,6.912710433659878,11.9764349555769,7.29207576820208,28.03771168918919,0.09711139070424657,-0.508332976714493,8,0,Species.code=YP
masscorr.P.excr.t,1.9474547931243338,0.8213815977891962,1.499189070172018,1.0616542310549777,3.2135438797250857,0.29180900975521534,-1.5743582539864667,8,0,Species.code=YP
masscorr.NP.excr.t,4.545677579156931,2.5632933884081237,4.9486977769600555,1.8801764251194149,8.387740636529344,0.7349202434213261,-1.209489869809668,8,0,Species.code=YP
d15N,NA,NA,NA,Inf,-Inf,NA,NA,0,8,Species.code=YP
d13C,NA,NA,NA,Inf,-Inf,NA,NA,0,8,Species.code=YP
Mass,508.875,114.45827374450232,205.5,341,673,0.10396907787835336,-1.0418915414441003,8,0,Species.code=YP
BodyC,NA,NA,NA,Inf,-Inf,NA,NA,0,8,Species.code=YP
BodyN,NA,NA,NA,Inf,-Inf,NA,NA,0,8,Species.code=YP
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,8,Species.code=YP
BodyCN,NA,NA,NA,Inf,-Inf,NA,NA,0,8,Species.code=YP
masscorr.N.excr,13.196114961266323,14.183015788485719,4.8928037331501,4.805796827516779,66.967875,3.809838320747487,15.190743972282558,17,0,Species.code=NA
masscorr.P.excr,0.5717986487969664,0.31216655760233053,0.3043828812257414,0.2354684455952381,1.4452776041666666,1.5618518999126267,2.7699455944796063,17,0,Species.code=NA
masscorr.NP.excr,10.523512430612064,5.234536730614418,8.368654286187672,3.0930704450620925,20.925776725815282,0.6835265188781003,-0.7015760842408193,17,0,Species.code=NA
masscorr.N.excr.t,16.07754904521241,18.331014249810334,18.84542943453343,-9.202155017977528,59.2108465,1.253773124668055,1.7035701568339916,17,0,Species.code=NA
masscorr.P.excr.t,0.7741053397927573,1.061276359688934,0.32809582818826527,0.068369863625,4.720781016666667,3.6018462539961336,13.814167468617104,17,0,Species.code=NA
masscorr.NP.excr.t,11.375866504020781,11.75238707047767,15.959430515794296,-7.630749292715478,39.8724336865053,0.5309595065043181,0.8781284606438379,17,0,Species.code=NA
d15N,11.251073972,1.9202664060409211,3.8177666640000005,9.462727626,13.28049429,0.5560348603168316,-1.5000000000000002,3,14,Species.code=NA
d13C,-19.520769823333332,3.366267382380016,6.72776897,-22.95776897,-16.23,-0.19510935246742678,-1.5,3,14,Species.code=NA
Mass,73.82352941176471,58.05518419370234,76.5,7,208,1.0093506566427357,0.2642072813089618,17,0,Species.code=NA
BodyC,45.269179226666665,6.960485821704027,13.90198222,38.52801778,52.43,0.2703262787892187,-1.4999999999999998,3,14,Species.code=NA
BodyN,13.873459426666667,2.3344261594601794,4.645852899999998,11.6841471,16.33,0.5083772599592523,-1.5000000000000002,3,14,Species.code=NA
BodyP,NA,NA,NA,Inf,-Inf,NA,NA,0,17,Species.code=NA
BodyCN,3.266200892666667,0.04877384378932186,0.08746086199999992,3.21,3.297460862,-1.6994009375764556,-1.49999999999999,3,14,Species.code=NA
