Species.code,Source,masscorr.N.excr,masscorr.N.excr.sd,masscorr.P.excr,masscorr.P.excr.sd,masscorr.NP.excr,masscorr.NP.excr.sd,Year,biomass.lw.kg.ha,biomass.wb.kg.ha,biomass.g.m2,Pop.N.excr,Pop.N.excr.sd,Pop.P.excr,Pop.P.excr.sd,n.b,biomass.g.m2.sd,biomass.g.m2.se,Agg.biomass.g.m2,Agg.N.excr,Agg.biomass.g.m2.sd,Agg.biomass.g.m2.se,Agg.N.excr.sd,Agg.N.excr.se,Agg.P.excr,Agg.P.excr.sd,Agg.P.excr.se,n.load,Nload,Nload.sd,Nload.se,Pload,Pload.sd,Pload.se
LP,Fish,17.192411406862746,8.255783729189625,2.6330104293382353,2.1329005710083746,5.575785554421667,4.9047109169561764,2020,1.4584e-4,0.003097591,3.646e-6,6.268353198942157e-5,3.0100587476625374e-5,9.599956025367206e-6,7.776555481896534e-6,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
LP,Fish,17.192411406862746,8.255783729189625,2.6330104293382353,2.1329005710083746,5.575785554421667,4.9047109169561764,2021,6.63316e-4,0.014088623,1.6582899999999997e-5,2.8510003911886417e-4,1.3690483600277862e-4,4.366294864867301e-5,3.5369676878974765e-5,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
RG,Fish,11.004346006581844,4.828378988456761,2.527211229171131,1.7889015523291643,3.3648443067196734,3.5652130616642066,2016,0.153173815,0.100803244,0.003829345375,0.042139441485203905,0.018489530748194073,0.009677564632074535,0.006850321885742005,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
RG,Fish,11.004346006581844,4.828378988456761,2.527211229171131,1.7889015523291643,3.3648443067196734,3.5652130616642066,2017,0.17322141,0.053227803,0.00433053525,0.04765470828469941,0.020909465409871344,0.01094417731212141,0.007746901231141165,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
RG,Fish,11.004346006581844,4.828378988456761,2.527211229171131,1.7889015523291643,3.3648443067196734,3.5652130616642066,2018,0.124649,0.030795511,0.003116225,0.03429201813436051,0.015046315313303669,0.007875358812623807,0.005574619739906949,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
RG,Fish,11.004346006581844,4.828378988456761,2.527211229171131,1.7889015523291643,3.3648443067196734,3.5652130616642066,2019,0.238809,0.054198746,0.005970225,0.0656984216371451,0.028826508946359266,0.015088019660678215,0.010680144770254385,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
RG,Fish,11.004346006581844,4.828378988456761,2.527211229171131,1.7889015523291643,3.3648443067196734,3.5652130616642066,2020,0.114981425,0.04945903,0.002874535625,0.031632384625745996,0.013879347413320423,0.007264558710152455,0.005142261241787985,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
RG,Fish,11.004346006581844,4.828378988456761,2.527211229171131,1.7889015523291643,3.3648443067196734,3.5652130616642066,2021,0.161412132,0.185390028,0.0040353033,0.04440587375470154,0.01948397366577023,0.010198063812871321,0.007218760337489,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
WP,Fish,21.218796951015072,12.508293150397792,4.701928438362317,2.1788866678243153,2.189676957336826,0.7897697552308509,2016,2.996244756,12.97573342,0.0749061189,1.5894177273276924,0.9369476939597526,0.352203210663259,0.16321194380967297,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
WP,Fish,21.218796951015072,12.508293150397792,4.701928438362317,2.1788866678243153,2.189676957336826,0.7897697552308509,2017,4.04980329,10.91386782,0.10124508224999999,2.14829884255157,1.266403168819136,0.4760471314756068,0.2206015598973012,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
WP,Fish,21.218796951015072,12.508293150397792,4.701928438362317,2.1788866678243153,2.189676957336826,0.7897697552308509,2018,3.928868,11.43761403,0.0982217,2.084146308483517,1.2285858173304267,0.46183140449429194,0.21401395262103953,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
WP,Fish,21.218796951015072,12.508293150397792,4.701928438362317,2.1788866678243153,2.189676957336826,0.7897697552308509,2019,2.450408,7.585304514,0.0612602,1.2998677449785736,0.7662605400519988,0.2880410765197632,0.13347903304825112,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
WP,Fish,21.218796951015072,12.508293150397792,4.701928438362317,2.1788866678243153,2.189676957336826,0.7897697552308509,2020,3.999687901,3.913928674,0.099992197525,2.121714135968767,1.2507317193951806,0.4701561571571396,0.217871666073678,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
WP,Fish,21.218796951015072,12.508293150397792,4.701928438362317,2.1788866678243153,2.189676957336826,0.7897697552308509,2021,4.138451169,24.03611418,0.103461279225,2.195323876167549,1.2941240102614608,0.48646753105737184,0.22543040193940128,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
YP,Fish,13.196114961266323,14.183015788485719,0.5717986487969664,0.31216655760233053,10.523512430612064,5.234536730614418,2016,6.382081157,46.04853412,0.15955202892499998,2.105466915997589,2.2629289453282047,0.09123163455212949,0.049806807627984714,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
YP,Fish,13.196114961266323,14.183015788485719,0.5717986487969664,0.31216655760233053,10.523512430612064,5.234536730614418,2017,5.30305008,46.7322868,0.132576252,1.7494914625258144,1.8803310752942615,0.07580692175616612,0.04138587220665909,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
YP,Fish,13.196114961266323,14.183015788485719,0.5717986487969664,0.31216655760233053,10.523512430612064,5.234536730614418,2018,2.590237,35.54488,0.064755925,0.85452663072314,0.9184343066729972,0.0370273504165977,0.020214634191604696,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
YP,Fish,13.196114961266323,14.183015788485719,0.5717986487969664,0.31216655760233053,10.523512430612064,5.234536730614418,2019,1.112557,29.33484,0.027813925,0.3670357518240394,0.39448533741475766,0.015903964732740163,0.0086825772206594,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
YP,Fish,13.196114961266323,14.183015788485719,0.5717986487969664,0.31216655760233053,10.523512430612064,5.234536730614418,2020,1.852794344,91.38644613,0.046319858600000006,0.6112421790752006,0.6569552858442261,0.026485632559946546,0.014459510807788708,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
YP,Fish,13.196114961266323,14.183015788485719,0.5717986487969664,0.31216655760233053,10.523512430612064,5.234536730614418,2021,10.3817766,52.64681847,0.25954441500000003,3.424977937894616,3.68112253575829,0.1484071457997991,0.08102108657546069,NA,NA,NA,0.101184725,1.8244962581354447,0.030330412016421324,0.011296016445553383,0.3858114585690307,0.24200702033339777,0.37961163332151143,0.06118963017900541,0.05398809345289566,5,410.0652403360345,86.71317783034924,54.392365297279326,85.31973412289896,13.752694911564019,12.134111220195468
DM,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,3.3337677352144146,1.7779495780301193,1992,NA,NA,4.9302325574,536.6909110749605,1452.3265574559455,95.05835295460292,276.5958979004892,47,12.67498931805,69.76744186,8.3197674426,905.6659126553492,20.8011304217,81.39534884,2390.0835341841666,NA,160.41097064921283,456.7711899820211,NA,1,203553.23201194505,537183.9895522933,NA,36053.219039774434,102661.75497118993,NA
DM,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,3.3337677352144146,1.7779495780301193,1993,NA,NA,7.395348836099999,805.0363666124406,1226.0301457108267,142.5875294319044,265.34937713078074,37,9.37169808395,58.13953488,8.3197674426,905.6659126553492,20.8011304217,81.39534884,2390.0835341841666,NA,160.41097064921283,456.7711899820211,NA,1,203553.23201194505,537183.9895522933,NA,36053.219039774434,102661.75497118993,NA
DM,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,3.3337677352144146,1.7779495780301193,1998,NA,NA,10.168604650299999,1106.9250041642235,2061.4661440312216,196.057852981642,421.04911550135853,30,16.8774974122,116.2790698,8.3197674426,905.6659126553492,20.8011304217,81.39534884,2390.0835341841666,NA,160.41097064921283,456.7711899820211,NA,1,203553.23201194505,537183.9895522933,NA,36053.219039774434,102661.75497118993,NA
DM,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,3.3337677352144146,1.7779495780301193,2002,NA,NA,17.56395348905,1911.9613710651358,6115.638424339462,338.64538246464025,1142.1419353520841,107,54.186142279,197.6744186,8.3197674426,905.6659126553492,20.8011304217,81.39534884,2390.0835341841666,NA,160.41097064921283,456.7711899820211,NA,1,203553.23201194505,537183.9895522933,NA,36053.219039774434,102661.75497118993,NA
DM,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,3.3337677352144146,1.7779495780301193,2004,NA,NA,9.4919033374,1033.2612489726332,3076.2553291333124,183.01057549572675,578.9524329902893,283,27.0983756445,60.78608417,8.3197674426,905.6659126553492,20.8011304217,81.39534884,2390.0835341841666,NA,160.41097064921283,456.7711899820211,NA,1,203553.23201194505,537183.9895522933,NA,36053.219039774434,102661.75497118993,NA
DM,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,3.3337677352144146,1.7779495780301193,2011,NA,NA,5.2383720929,570.2340930892633,1264.5352405445353,100.99950002703906,248.66014258088768,135,10.740773580900001,34.88372093,8.3197674426,905.6659126553492,20.8011304217,81.39534884,2390.0835341841666,NA,160.41097064921283,456.7711899820211,NA,1,203553.23201194505,537183.9895522933,NA,36053.219039774434,102661.75497118993,NA
DM,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,3.3337677352144146,1.7779495780301193,2014,NA,NA,11.70930232515,1274.6409139472667,2041.8009025664776,225.76358829272888,434.83698081820825,107,15.9371006678,58.13953488,8.3197674426,905.6659126553492,20.8011304217,81.39534884,2390.0835341841666,NA,160.41097064921283,456.7711899820211,NA,1,203553.23201194505,537183.9895522933,NA,36053.219039774434,102661.75497118993,NA
DM,Dreissenid,108.85711877209884,91.94876508240215,19.28070366821251,26.27600730238268,3.3337677352144146,1.7779495780301193,2019,NA,NA,8.3197674426,905.6659126553492,2390.0835341841666,160.41097064921283,456.7711899820211,93,20.8011304217,81.39534884,8.3197674426,905.6659126553492,20.8011304217,81.39534884,2390.0835341841666,NA,160.41097064921283,456.7711899820211,NA,1,203553.23201194505,537183.9895522933,NA,36053.219039774434,102661.75497118993,NA
