"stream","date","year","TP_mt","SRP_mt","TKN_mt","water_year"
"Portage",2015-09-01,2015,0.008128355800295,0.00566186512910861,0.052713916719287,2015
"Portage",2015-09-02,2015,0.0117330227744988,0.00688397854596641,0.0742108016878357,2015
"Portage",2015-09-03,2015,0.00764853340416641,0.00507999606694635,0.0585626512886175,2015
"Portage",2015-09-04,2015,0.0130268208548614,0.00826394501706762,0.0885930449679185,2015
"Portage",2015-09-05,2015,0.457611257895071,0.144459765730623,1.58905742303686,2015
"Portage",2015-09-06,2015,0.116529182212516,0.0493437589043414,0.614459650356168,2015
"Portage",2015-09-07,2015,0.292053350078425,0.180462130707936,1.025353015386,2015
"Portage",2015-09-08,2015,0.0699765133899582,0.0457426443578308,0.254504287224952,2015
"Portage",2015-09-09,2015,0.03945190411059,0.0294375150271807,0.153244097366376,2015
"Portage",2015-09-10,2015,0.0383318202337371,0.0226592040790564,0.134733404646546,2015
"Portage",2015-09-11,2015,0.0236277739789062,0.0180385036394057,0.08361690603291,2015
"Portage",2015-09-12,2015,0.0224533981441067,0.021291079033599,0.0976565308734973,2015
"Portage",2015-09-13,2015,0.03416422558525,0.0255272022631362,0.158153493720483,2015
"Portage",2015-09-14,2015,0.0322810572421003,0.0268904096917457,0.163792752491544,2015
"Portage",2015-09-15,2015,0.021301662919412,0.0156415446452434,0.12168591512147,2015
"Portage",2015-09-16,2015,0.0146158912447487,0.0102301109890479,0.0891336403006157,2015
"Portage",2015-09-17,2015,0.0110364533575777,0.00794892394973376,0.0804933141015145,2015
"Portage",2015-09-18,2015,0.00861038011441521,0.00572645472352934,0.0683724895303323,2015
"Portage",2015-09-19,2015,0.012338276205732,0.00477816204180672,0.0845203774506255,2015
"Portage",2015-09-20,2015,0.0173506733903358,0.00972366985097626,0.105643621401752,2015
"Portage",2015-09-21,2015,0.0150349309180065,0.0118499071056952,0.12373037151093,2015
"Portage",2015-09-22,2015,0.0163737313089667,0.0120434883181656,0.104331792059614,2015
"Portage",2015-09-23,2015,0.0118257675603057,0.00902492787497011,0.0836102513474243,2015
"Portage",2015-09-24,2015,0.00939768812519524,0.0070698204244588,0.0699222483443426,2015
"Portage",2015-09-25,2015,0.00737358724427996,0.00532942444388552,0.063661070069427,2015
"Portage",2015-09-26,2015,0.00595946657855324,0.00406327266719539,0.0541769688959386,2015
"Portage",2015-09-27,2015,0.00518020780132034,0.00343266782015203,0.048119761624313,2015
"Portage",2015-09-28,2015,0.00460686913256264,0.00330098496900158,0.0495147745350236,2015
"Portage",2015-09-29,2015,0.00455356640666189,0.00346691987779939,0.0471397613235111,2015
"Portage",2015-09-30,2015,0.00589893829953926,0.0051745072802976,0.0442420372465445,2015
"Portage",2015-10-01,2015,0.0061347881821968,0.00534953529487561,0.045544667464629,2016
"Portage",2015-10-02,2015,0.00603349995458246,0.00519809226856335,0.0445550765876859,2016
"Portage",2015-10-03,2015,0.00607991149269464,0.00473397688744162,0.0411206227673851,2016
"Portage",2015-10-04,2015,0.00584785380213377,0.00473397688744162,0.0396818650859077,2016
"Portage",2015-10-05,2015,0.00578597175131754,0.00465662432392134,0.0411670343054973,2016
"Portage",2015-10-06,2015,0.0060660785545562,0.00510414376758774,0.0410785416679898,2016
"Portage",2015-10-07,2015,0.00739456907616452,0.00544118401483776,0.0457059457246372,2016
"Portage",2015-10-08,2015,0.00693901426287908,0.0053814875715095,0.0481746627795707,2016
"Portage",2015-10-09,2015,0.00649796764258285,0.00588939665490893,0.0457409806864593,2016
"Portage",2015-10-10,2015,0.00619129918416385,0.00510526919233901,0.0412134458436094,2016
"Portage",2015-10-11,2015,0.00594531803216933,0.00491962303989032,0.0366651151086165,2016
"Portage",2015-10-12,2015,0.00558719673080427,0.00446248311749265,0.0367490380866871,2016
"Portage",2015-10-13,2015,0.00491433843671044,0.00392413591588072,0.0372976282845859,2016
"Portage",2015-10-14,2015,0.00503187192595181,0.0039563573158247,0.0381423574234362,2016
"Portage",2015-10-15,2015,0.00529906244135668,0.00410780034213696,0.0428443575684885,2016
"Portage",2015-10-16,2015,0.00590554405351411,0.00450571138897743,0.0518812981293906,2016
"Portage",2015-10-17,2015,0.00634299176118182,0.00507439340894546,0.0512688713386558,2016
"Portage",2015-10-18,2015,0.00656171561501568,0.00533686203354609,0.0472006076573461,2016
"Portage",2015-10-19,2015,0.00717367674087151,0.00600255892917435,0.0460711868326835,2016
"Portage",2015-10-20,2015,0.00734474701174088,0.00621175744888151,0.0366143731317875,2016
"Portage",2015-10-21,2015,0.00828088510614979,0.00651797084424891,0.0435697916837041,2016
"Portage",2015-10-22,2015,0.0082194833996658,0.00700814225493809,0.0406565073862634,2016
"Portage",2015-10-23,2015,0.00879034531844553,0.00742584609794765,0.0469220650314067,2016
"Portage",2015-10-24,2015,0.0102741493488803,0.00839055530158554,0.0517702969968577,2016
"Portage",2015-10-25,2015,0.0112082323198303,0.00896180622587712,0.0526356752333183,2016
"Portage",2015-10-26,2015,0.0121703677259936,0.010318807507851,0.0541321313214278,2016
"Portage",2015-10-27,2015,0.0128661004140778,0.0106729411629174,0.0595472022199354,2016
"Portage",2015-10-28,2015,0.0404264711787476,0.0249546118387331,0.282818934172308,2016
"Portage",2015-10-29,2015,0.123151609599711,0.113429114104997,0.579060393435176,2016
"Portage",2015-10-30,2015,0.0808125922102988,0.0624346506796078,0.527673499292169,2016
"Portage",2015-10-31,2015,0.0455764729467302,0.0378994124716946,0.343038271859184,2016
"Portage",2015-11-01,2015,0.024428163829132,0.0198066193209179,0.145248541686731,2016
"Portage",2015-11-02,2015,0.0194790424278807,0.0168736767889631,0.132716276505938,2016
"Portage",2015-11-09,2015,0.0115876081103325,0.00801821096920328,0.0847516277712562,2016
"Portage",2015-11-10,2015,0.00832614675375523,0.00648675254027889,0.0673555948702931,2016
"Portage",2015-11-11,2015,0.00907077670070665,0.00694044550957363,0.0677657387948648,2016
"Portage",2015-11-12,2015,0.0104907202162334,0.00806978478171801,0.0718847933845144,2016
"Portage",2015-11-13,2015,0.0106564023122248,0.00825572452323226,0.0708254261729925,2016
"Portage",2015-11-14,2015,0.00839899598722007,0.00676429207024435,0.0635091866595164,2016
"Portage",2015-11-15,2015,0.0111071202456553,0.00952755235518966,0.0567474390278402,2016
"Portage",2015-11-16,2015,0.013874686503562,0.0122191116661265,0.0530855352342573,2016
"Portage",2015-11-17,2015,0.0154042268172581,0.0141631279741615,0.0457746455659756,2016
"Portage",2015-11-18,2015,0.012498595408126,0.010658848887771,0.0503010060525633,2016
"Portage",2015-11-19,2015,0.00937280155873889,0.0077917559366433,0.0506085895302366,2016
"Portage",2015-11-20,2015,0.0082470440731942,0.00671741568277839,0.0541439890575752,2016
"Portage",2015-11-21,2015,0.00907624724362804,0.00718745177672202,0.0580846393583931,2016
"Portage",2015-11-22,2015,0.00833010041983795,0.00649810465081344,0.0508104809443123,2016
"Portage",2015-11-23,2015,0.00784812503722867,0.00647318220124907,0.0468940680519059,2016
"Portage",2015-11-24,2015,0.00876989684003006,0.00738161201207163,0.043206132694511,2016
"Portage",2015-11-25,2015,0.00827553199885462,0.00683984232311224,0.0461181447726677,2016
"Portage",2015-11-26,2015,0.00828230411996661,0.00623035142303293,0.0529579870957799,2016
"Portage",2015-11-27,2015,0.00864247918558188,0.00566186512910861,0.0590265709436955,2016
"Portage",2015-11-28,2015,0.0186270909980179,0.010708954754958,0.158524981751424,2016
"Portage",2015-11-29,2015,0.0406527885914331,0.0278576877997071,0.280520437611004,2016
"Portage",2015-11-30,2015,0.0296184759874583,0.0224760778994203,0.235749083745031,2016
"Portage",2015-12-01,2015,0.0156170299582701,0.00897208184317133,0.163179738522679,2016
"Portage",2015-12-02,2015,0.0117774843919006,0.00915789925590826,0.121182434339809,2016
"Portage",2015-12-03,2015,0.00812287547107143,0.00524056482004608,0.0983479331228648,2016
"Portage",2015-12-04,2015,0.00700836244673726,0.00517010344431437,0.0896151263681157,2016
"Portage",2015-12-05,2015,0.00620849371710283,0.0034019143655358,0.0923376756359716,2016
"Portage",2015-12-06,2015,0.00511637664531894,0.00358472249035085,0.0691960068591967,2016
"Portage",2015-12-07,2015,0.00501384881942784,0.00383818771694131,0.0618950992191437,2016
"Portage",2015-12-08,2015,0.00437633647409226,0.00356661783130867,0.0538848477757175,2016
"Portage",2015-12-09,2015,0.00419010314351247,0.00338214603512218,0.0602209891253699,2016
"Portage",2015-12-10,2015,0.00456589714741494,0.00347609453609779,0.064354723168297,2016
