SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0508,,0.1,6909,NG/G DWT,"2,2',3,3',4,5'-HEXACHLOROBIPHENYL (PCB 130)","2,2',3,3',4,5'-HEXACHLOROBIPHÉNYLE (BPC 130)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0343,,0.1,6949,NG/G DWT,"2,2',3,3',4,6,6'-HEPTACHLOROBIPHENYL (PCB 176)","2,2',3,3',4,6,6'-HEPTACHLOROBIPHÉNYLE (BPC 176)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0503,,0.1,6910,NG/G DWT,"2,2',3,3',4,6-HEXACHLOROBIPHENYL (PCB 131)/2,2',3,4,5,6-HEXACHLOROBIPHENYL (PCB 142)","2,2',3,3',4,6-HEXACHLOROBIPHÉNYLE (BPC 131)/2,2',3,4,5,6-HEXACHLOROBIPHÉNYLE (BPC 142)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.102,,0.1,6870,NG/G DWT,"2,2',3,3',4-PENTACHLOROBIPHENYL (PCB 82)","2,2',3,3',4-PENTACHLOROBIPHÉNYLE (BPC 82)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0464,,0.1,6951,NG/G DWT,"2,2',3,3',5,5',6-HEPTACHLOROBIPHENYL (PCB 178)","2,2',3,3',5,5',6-HEPTACHLOROBIPHÉNYLE (BPC 178)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0343,,0.1,6952,NG/G DWT,"2,2',3,3',5,6,6'-HEPTACHLOROBIPHENYL (PCB 179)","2,2',3,3',5,6,6'-HEPTACHLOROBIPHÉNYLE (BPC 179)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0503,,0.1,6915,NG/G DWT,"2,2',3,3',5,6'/2,2',3,4,5',6-HEXACHLOROBIPHENYL (PCB 135/144)","2,2',3,3',5,6'/2,2',3,4,5',6-HEXACHLOROBIPHÉNYLE (BPC 135/144)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0503,,0.1,6917,NG/G DWT,"2,2',3,3',6,6'-HEXACHLOROBIPHENYL (PCB 136)","2,2',3,3',6,6'-HEXACHLOROBIPHÉNYLE (BPC 136)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.167,,0.1,6841,NG/G DWT,"2,2',3,3'-TETRACHLOROBIPHENYL (PCB 40)","2,2',3,3'-TÉTRACHLOROBIPHÉNYLE (BPC 40)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,0.054,,0.1,6953,NG/G DWT,"2,2',3,4,4',5,5'-HEPTACHLOROBIPHENYL (PCB 180)","2,2',3,4,4',5,5'-HEPTACHLOROBIPHÉNYLE (BPC 180)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0464,,0.1,6954,NG/G DWT,"2,2',3,4,4',5',6/2,2',3,4',5,5',6-HEPTACHLOROBIPHENYL (PCB 182/187)","2,2',3,4,4',5',6/2,2',3,4',5,5',6-HEPTACHLOROBIPHÉNYLE (BPC 182/187)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0454,,0.1,6955,NG/G DWT,"2,2',3,4,4',5',6-HEPTACHLOROBIPHENYL (PCB 183)","2,2',3,4,4',5',6-HEPTACHLOROBIPHÉNYLE (BPC 183)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0508,,0.1,6918,NG/G DWT,"2,2',3,4,4',5-HEXACHLOROBIPHENYL (PCB 137)","2,2',3,4,4',5-HEXACHLOROBIPHÉNYLE (BPC 137)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0454,,0.1,6957,NG/G DWT,"2,2',3,4,5,5',6-HEPTACHLOROBIPHENYL (PCB 185)","2,2',3,4,5,5',6-HEPTACHLOROBIPHÉNYLE (BPC 185)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0508,,0.1,6922,NG/G DWT,"2,2',3,4,5,5'-HEXACHLOROBIPHENYL (PCB 141)","2,2',3,4,5,5'-HEXACHLOROBIPHÉNYLE (BPC 141)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0442,,0.1,6924,NG/G DWT,"2,2',3,4',5,5'-HEXACHLOROBIPHENYL (PCB 146)","2,2',3,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 146)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0398,,0.1,6878,NG/G DWT,"2,2',3,4',6-PENTACHLOROBIPHENYL (PCB 91)","2,2',3,4',6-PENTACHLOROBIPHÉNYLE (BPC 91)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.056,,0.1,6928,NG/G DWT,"2,2',3,5,5',6-HEXACHLOROBIPHENYL (PCB 151)","2,2',3,5,5',6-HEXACHLOROBIPHÉNYLE (BPC 151)",P
