"V1","peak","peak.WL"
"S254_2","1.76725824019172e-05","225.6248169"
"S291_1","4.369136510002e-05","225.6248169"
"S291_2","4.60387770582371e-05","225.7819366"
"S292_1","3.50196300066182e-05","225.6248169"
"S292_2","3.53234629976429e-05","225.6248169"
"S298_1","5.12933948236537e-05","225.6248169"
"S298_2","3.28812021932364e-05","225.7819366"
"S305_1","4.60138454133945e-05","224.8391876"
"S305_2","4.1713796091911e-05","224.8391876"
"S290_1","2.56676323256501e-05","225.6248169"
"S290_2","2.57876066148313e-05","225.6248169"
"S210_1","1.44584448168872e-05","221.6961517"
"S210_2","1.24504700865411e-05","225.6248169"
"S304_1","4.61172167269312e-05","225.7819366"
"S304_2","4.7715775799415e-05","224.9963226"
"S205_1","3.07176823894838e-05","225.7819366"
"S205_2","2.9553299044529e-05","225.6248169"
"S249_1","7.59121765260201e-05","224.8391876"
"S249_2","7.42434170586202e-05","224.8391876"
"S209_1","2.63712924151227e-05","225.6248169"
"S209_2","2.94870905396422e-05","223.1106262"
"S259_1","1.84705931977033e-05","225.6248169"
"S259_2","1.98238723050805e-05","224.0535126"
"S240_1","3.30252208125264e-05","225.6248169"
"S240_2","3.48079164588583e-05","225.6248169"
"S201_1","3.04244365499946e-05","225.6248169"
"S201_2","3.02816226717149e-05","225.6248169"
"S293_1","5.09184738132184e-05","224.9963226"
"S293_2","5.08027525912795e-05","224.6820526"
"S260_1","3.51688321480749e-05","225.7819366"
"S260_2","3.18581633100052e-05","224.8391876"
"S296_1","4.81989488726427e-05","225.6248169"
"S296_2","4.79397959676538e-05","225.7819366"
"S248_1","4.21163782437389e-05","225.7819366"
"S248_2","4.26300732418223e-05","225.6248169"
"S271_1","0.000126034409603129","225.7819366"
"S271_2","0.000131021162771564","224.8391876"
"S234_1","3.73397797056766e-05","225.7819366"
"S234_2","3.87083391499368e-05","225.6248169"
"S256_1","2.93251222135857e-05","225.7819366"
"S256_2","2.97374908016934e-05","224.9963226"
"S307_1","4.04726236819708e-05","225.7819366"
"S307_2","4.08885219378612e-05","224.9963226"
"S261_1","1.46589333651038e-05","225.6248169"
"S261_2","1.39070791315694e-05","222.4819946"
"S200_1","2.50746169029281e-05","225.6248169"
"S200_2","2.47366377800299e-05","225.6248169"
"S223_1","4.07633768623123e-05","225.6248169"
"S223_2","4.24329638876696e-05","225.6248169"
"S297_1","7.0885611533668e-05","225.7819366"
"S297_2","7.27158067086489e-05","225.6248169"
"S301_1","4.81949543734892e-05","225.7819366"
"S301_2","5.32925390413867e-05","225.7819366"
"S202_1","1.83633205087287e-05","225.7819366"
"S202_2","1.90194381111874e-05","225.6248169"
"DET002_1","1.9459955605236e-05","223.2677765"
"DET002_2","1.86727762109e-05","225.6248169"
"S230_1","3.69821523950499e-05","225.6248169"
"S230_2","3.71912753563593e-05","225.6248169"
"S268_1","2.26279985860468e-05","225.6248169"
"S268_2","2.1729612834959e-05","225.6248169"
"S269_1","4.83033445098085e-05","225.6248169"
"S269_2","4.91530359327808e-05","225.6248169"
"S273_1","7.11553757581195e-05","225.7819366"
"S273_2","7.13547228499505e-05","224.8391876"
"S251_1","4.3359346642221e-05","225.7819366"
"S251_2","4.74156854554433e-05","225.6248169"
"S224_1","2.67902027700631e-05","225.6248169"
"S224_2","2.5687381863162e-05","224.6820526"
"S306_1","4.7405831788179e-05","225.7819366"
"S306_2","5.26818561143782e-05","225.6248169"
